pitches,player_id,player_name,player_handiness,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp
2041,664023,"Happ, Ian",S,2041,100,0.247,0.168,0.309,0.415,0.348,0.352,0.245,97,393,89.5,12.2,2204,89.5,87.77,230,892,1148,-1.7,6.41,113,146,120,149,294,321,298,-9.9,9.9
1803,663538,"Hoerner, Nico",R,1803,100,0.274,0.12,0.305,0.395,0.318,0.305,0.268,121,441,86.8,10.3,2257,89.1,87.69,105,832,971,-1.4,6.44,110,149,112,147,298,318,288,-11.4,11.4
1756,621020,"Swanson, Dansby",R,1756,100,0.262,0.191,0.32,0.453,0.346,0.361,0.261,100,382,89.4,12.1,2230,88.7,87.21,246,811,945,-1.5,6.43,108,151,118,146,300,321,291,-2.7,2.7
1648,673548,"Suzuki, Seiya",R,1648,100,0.249,0.139,0.318,0.388,0.313,0.326,0.256,84,338,91.6,11.3,2265,89,86.82,149,658,990,-2.2,6.45,109,151,121,147,302,321,292,10.7,-10.7
1379,641355,"Bellinger, Cody",L,1379,100,0.332,0.219,0.349,0.552,0.394,0.337,0.275,103,310,86.9,17.4,2253,89.1,88.27,130,664,714,-0.8,6.39,116,144,122,151,295,322,302,-18.7,18.7
1146,621550,"Wisdom, Patrick",R,1146,100,0.198,0.297,0.229,0.495,0.334,0.345,0.217,44,222,91.6,19.7,2246,89.3,89.52,178,526,620,0.2,6.43,109,151,120,146,299,322,296,-1.5,1.5
1113,666624,"Morel, Christopher",R,1113,100,0.274,0.258,0.354,0.532,0.37,0.351,0.252,69,252,91.3,10.6,2279,88.1,86.05,206,535,578,-2.1,6.4,106,151,119,146,300,322,297,-16.4,16.4
1056,543228,"Gomes, Yan",R,1056,100,0.268,0.163,0.303,0.432,0.314,0.305,0.247,69,257,86.9,16.2,2283,88.8,86.8,139,559,497,-2,6.37,109,151,120,146,299,319,291,-3.6,3.6
1050,641820,"Mancini, Trey",R,1050,100,0.234,0.102,0.327,0.336,0.28,0.27,0.212,55,235,88.9,12.3,2257,89,88.23,170,520,530,-0.8,6.41,108,151,120,146,300,322,292,5.8,-5.8
1036,643565,"Tauchman, Mike",L,1036,100,0.278,0.146,0.331,0.425,0.348,0.354,0.282,59,212,88.1,6.5,2239,89.2,86.49,98,437,599,-2.7,6.42,116,145,114,150,288,320,301,-15.9,15.9
743,663611,"Madrigal, Nick",R,743,100,0.279,0.082,0.303,0.361,0.311,0.315,0.289,51,183,84.6,4.3,2271,89.4,86.3,34,331,412,-3.1,6.38,108,149,110,148,296,312,281,0.3,-0.3
494,571466,"Barnhart, Tucker",L,494,100,0.206,0.056,0.313,0.262,0.254,0.239,0.179,22,107,87,16.5,2246,88.6,87.16,57,233,261,-1.4,6.44,115,145,114,150,286,316,296,5.5,-5.5
480,670156,"Mastrobuoni, Miles",L,480,100,0.212,0.061,0.278,0.273,0.262,0.292,0.234,21,99,85.8,9.4,2292,89.2,89.42,40,175,305,0.2,6.43,116,145,109,151,283,317,301,7,-7
432,665804,"Amaya, Miguel",R,432,100,0.258,0.146,0.333,0.404,0.352,0.368,0.261,23,89,87,19.4,2231,88.2,87.92,56,196,236,-0.3,6.44,110,150,121,147,299,320,294,-6.3,6.3
407,543333,"Hosmer, Eric",L,407,100,0.234,0.096,0.299,0.33,0.265,0.245,0.203,22,94,84.5,3.3,2250,89.6,89.77,50,212,195,0.2,6.4,117,145,123,150,291,319,302,3.8,-3.8
405,670223,"Mervis, Matt",L,405,100,0.167,0.122,0.218,0.289,0.239,0.318,0.234,15,90,91,8.4,2221,88.2,88.39,68,204,201,0.2,6.42,116,145,123,152,292,320,296,5.8,-5.8
156,676724,"Young, Jared",L,156,100,0.171,0.2,0.217,0.371,0.272,0.256,0.173,6,35,88,8.3,2198,89.2,89.49,27,80,76,0.3,6.4,113,144,112,149,293,321,295,2.6,-2.6
153,621458,"Ríos, Edwin",L,153,100,0.071,0.143,0.091,0.214,0.219,0.274,0.154,2,28,89.5,20.8,2117,88.1,88.51,28,72,81,0.4,6.56,118,146,126,152,290,322,302,2.2,-2.2
130,676369,"Velázquez, Nelson",R,130,100,0.241,0.379,0.222,0.621,0.387,0.383,0.287,7,29,90.3,1.7,2243,90,90.2,23,72,58,0.2,6.4,112,150,118,147,299,316,292,-1,1
108,600869,"Candelario, Jeimer",S,1833,5.9,0.48,0.28,0.55,0.76,0.55,0.465,0.342,12,25,85.5,6.5,2266,85.7,85.72,10,42,66,0,6.18,118,149,127,150,294,323,298,-4.5,4.5
95,620443,"Torrens, Luis",R,95,100,0.25,0.05,0.417,0.3,0.282,0.242,0.197,5,20,85.9,25.7,2154,89,88.82,14,45,50,-0.2,6.17,111,149,117,148,300,319,291,0,0
5,605242,"Fulmer, Michael",R,5,100,0,0,,0,0,0,,0,1,,,2162,85.4,85.3,1,4,1,-0.1,6.22,123,152,122,148,292,309,280,0.1,-0.1
